Date;DFM.Close
2007-03-06;1
2007-03-07;2,35
2007-03-08;2,28
2007-03-11;2,19
2007-03-12;2,12
2007-03-13;2,1
2007-03-14;1,96
2007-03-15;2,11
2007-03-18;2,05
2007-03-19;2,01
2007-03-20;2,04
2007-03-21;2,1
2007-03-22;2,05
2007-03-25;2,02
2007-03-26;2,09
2007-03-27;2,08
2007-03-28;2,14
2007-03-29;2,12
2007-04-01;2,09
2007-04-02;2,09
2007-04-03;2,1
2007-04-04;2,1
2007-04-05;2,14
2007-04-08;2,18
2007-04-09;2,18
2007-04-10;2,2
2007-04-11;2,31
2007-04-12;2,36
2007-04-15;2,31
2007-04-16;2,4
2007-04-17;2,56
2007-04-18;2,9
2007-04-19;3,01
2007-04-22;3,11
2007-04-23;2,91
2007-04-24;2,83
2007-04-25;2,59
2007-04-26;2,48
2007-04-29;2,48
2007-04-30;2,65
2007-05-01;2,8
2007-05-02;2,6
2007-05-03;2,65
2007-05-06;2,98
2007-05-07;2,95
2007-05-08;2,98
2007-05-09;3,05
2007-05-10;3,04
2007-05-13;3,23
2007-05-14;3,22
2007-05-15;3,2
2007-05-16;3,15
2007-05-17;3,12
2007-05-20;3,17
2007-05-21;3,16
2007-05-22;3,25
2007-05-23;3,28
2007-05-24;3,31
2007-05-27;3,38
2007-05-28;3,3
2007-05-29;3,37
2007-05-30;3,35
2007-05-31;3,33
2007-06-03;3,34
2007-06-04;3,31
2007-06-05;3,27
2007-06-06;3,23
2007-06-07;3,37
2007-06-10;3,34
2007-06-11;3,34
2007-06-12;3,31
2007-06-13;3,35
2007-06-14;3,33
2007-06-17;3,31
2007-06-18;3,33
2007-06-19;3,33
2007-06-20;3,31
2007-06-21;3,3
2007-06-24;3,27
2007-06-25;3,22
2007-06-26;3,07
2007-06-27;3,13
2007-06-28;3,15
2007-07-01;3,22
2007-07-02;3,22
2007-07-03;3,28
2007-07-04;3,24
2007-07-05;3,25
2007-07-08;3,31
2007-07-09;3,3
2007-07-10;3,34
2007-07-11;3,3
2007-07-12;3,29
2007-07-15;3,26
2007-07-16;3,27
2007-07-17;3,23
2007-07-18;3,14
2007-07-19;3,15
2007-07-22;3,12
2007-07-23;3,04
2007-07-24;3,13
2007-07-25;3,07
2007-07-26;3,09
2007-07-29;2,95
2007-07-30;2,97
2007-07-31;3
2007-08-01;2,95
2007-08-02;2,95
2007-08-05;2,93
2007-08-06;2,92
2007-08-07;2,94
2007-08-08;2,96
2007-08-09;2,95
2007-08-12;2,94
2007-08-13;3
2007-08-14;3,04
2007-08-15;2,96
2007-08-16;2,88
2007-08-19;2,86
2007-08-20;2,81
2007-08-21;2,8
2007-08-22;2,66
2007-08-23;2,86
2007-08-26;3,03
2007-08-27;2,98
2007-08-28;3,1
2007-08-29;3,05
2007-08-30;3,14
2007-09-02;3,2
2007-09-03;3,11
2007-09-04;3,12
2007-09-05;3,12
2007-09-06;3,07
2007-09-09;3,05
2007-09-10;3,03
2007-09-11;3,03
2007-09-12;3,08
2007-09-13;3,09
2007-09-16;3,07
2007-09-17;3,1
2007-09-18;3,09
2007-09-19;3,16
2007-09-20;3,13
2007-09-23;3,17
2007-09-24;3,17
2007-09-25;3,18
2007-09-26;3,14
2007-09-27;3,16
2007-09-30;3,15
2007-10-01;3,15
2007-10-02;3,28
2007-10-03;3,29
2007-10-04;3,35
2007-10-07;3,57
2007-10-08;3,54
2007-10-09;3,67
2007-10-10;3,69
2007-10-15;3,92
2007-10-16;3,85
2007-10-17;4,09
2007-10-18;4,2
2007-10-21;4,26
2007-10-22;4,09
2007-10-23;4,19
2007-10-24;4,19
2007-10-25;4,2
2007-10-28;4,83
2007-10-29;5,07
2007-10-30;5,16
2007-10-31;5,18
2007-11-01;5,12
2007-11-04;5,65
2007-11-05;5,86
2007-11-06;6,19
2007-11-07;5,8
2007-11-08;5,83
2007-11-11;5,67
2007-11-12;6,26
2007-11-13;6,31
2007-11-14;6,77
2007-11-15;6,89
2007-11-18;7,05
2007-11-19;6,91
2007-11-20;6,61
2007-11-21;6,6
2007-11-22;6,4
2007-11-25;6,5
2007-11-26;6,43
2007-11-27;6,15
2007-11-28;6,33
2007-11-29;6,45
2007-12-04;6,58
2007-12-05;6,64
2007-12-06;6,66
2007-12-09;6,68
2007-12-10;6,56
2007-12-11;6,75
2007-12-12;6,61
2007-12-13;6,61
2007-12-16;6,67
2007-12-17;6,62
2007-12-23;6,85
2007-12-24;6,84
2007-12-25;6,9
2007-12-26;6,64
2007-12-27;6,33
2007-12-30;6,22
2007-12-31;6,2
2008-01-02;6,31
2008-01-03;6,36
2008-01-06;6,66
2008-01-07;6,61
2008-01-08;6,6
2008-01-09;6,52
2008-01-13;6,5
2008-01-15;6,63
2008-01-16;6,4
2008-01-17;5,82
2008-01-20;5,46
2008-01-21;4,94
2008-01-22;4,38
2008-01-23;5,03
2008-01-24;5,23
2008-01-27;5,42
2008-01-28;5,05
2008-01-29;5,2
2008-01-30;5,37
2008-01-31;5,78
2008-02-03;6,12
2008-02-04;6,03
2008-02-05;6
2008-02-06;5,7
2008-02-07;5,78
2008-02-10;5,58
2008-02-11;5,55
2008-02-12;5,6
2008-02-13;5,65
2008-02-14;5,9
2008-02-17;5,96
2008-02-18;5,95
2008-02-19;5,97
2008-02-20;6,27
2008-02-21;6,24
2008-02-24;6,19
2008-02-25;6,33
2008-02-26;6,26
2008-02-27;6,25
2008-02-28;6,27
2008-03-02;6,13
2008-03-03;5,92
2008-03-04;5,99
2008-03-05;5,96
2008-03-06;6,04
2008-03-09;5,95
2008-03-10;5,93
2008-03-11;5,91
2008-03-12;5,94
2008-03-13;5,85
2008-03-16;5,66
2008-03-17;5,51
2008-03-18;5,66
2008-03-19;5,65
2008-03-23;5,65
2008-03-24;5,48
2008-03-25;5,5
2008-03-26;5,44
2008-03-27;5,27
2008-03-30;4,92
2008-03-31;5,1
2008-04-01;5,29
2008-04-02;5,34
2008-04-03;5,3
2008-04-06;5,32
2008-04-07;5,28
2008-04-08;5,18
2008-04-09;5,18
2008-04-10;5,18
2008-04-13;5,15
2008-04-14;5,12
2008-04-15;5,18
2008-04-16;5,29
2008-04-17;5,49
2008-04-20;5,8
2008-04-21;5,69
2008-04-22;5,85
2008-04-23;5,81
2008-04-24;5,93
2008-04-27;6,09
2008-04-28;6,01
2008-04-29;5,96
2008-04-30;5,99
2008-05-01;6,12
2008-05-04;6,2
2008-05-05;6,17
2008-05-06;6,12
2008-05-07;6,13
2008-05-08;6,08
2008-05-11;5,94
2008-05-12;5,98
2008-05-13;5,86
2008-05-14;5,77
2008-05-15;5,72
2008-05-18;5,67
2008-05-19;5,73
2008-05-20;5,73
2008-05-21;5,7
2008-05-22;5,81
2008-05-25;5,81
2008-05-26;5,77
2008-05-27;5,75
2008-05-28;5,75
2008-05-29;5,8
2008-06-01;5,88
2008-06-02;5,96
2008-06-03;5,88
2008-06-04;5,89
2008-06-05;5,86
2008-06-08;5,76
2008-06-09;5,75
2008-06-10;5,69
2008-06-11;5,6
2008-06-12;5,49
2008-06-15;5,5
2008-06-16;5,55
2008-06-17;5,36
2008-06-18;5,5
2008-06-19;5,4
2008-06-22;5,46
2008-06-23;5,34
2008-06-24;5,12
